rmrecnbr,bldrecnbr,bld_descrshort,bld_descr50,floor,rmnbr,rmsqrft,rmstationcnt,deptid,rmtyp,rmsubtyp,rmtyp_descrshort,rmsubtyp_descrshort,dept_descr,falist,occlist,occdeptlist,grantdtlist,rmfnclist,fa_avail,fa_reserve,fa_na,refreshed_at,MGIS-Color
2099445,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2D346,417,0,312151,635,07,FoodFacSvc,DngRmSvc,MM Contract Services Programs,,,MM Contract Services Programs (312151) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099446,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2D347,143,3,312151,310,16,Office,FlexOffice,MM Contract Services Programs,,,MM Contract Services Programs (312151) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099447,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2D347A,93,1,312151,310,00,Office,Office,MM Contract Services Programs,,,MM Contract Services Programs (312151) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099448,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2D348,113,0,312151,635,04,FoodFacSvc,FoodStPrep,MM Contract Services Programs,,,MM Contract Services Programs (312151) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099449,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2D349J,34,0,000500,010,02,Custodial,JanClos,Institutional Org,,,,,Custodial Area(0010) - 100%,0,0,0,,
2099450,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2D350,809,0,312151,635,03,FoodFacSvc,Other,MM Contract Services Programs,,,MM Contract Services Programs (312151) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099451,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2D355,12095,700,312151,630,01,Food Fac,DngHallCaf,MM Contract Services Programs,,,MM Contract Services Programs (312151) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099452,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2D355E,81,0,000500,030,03,Mechanical,ElectEquip,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2099453,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2D420Z,180,0,000500,020,01,Circulat'n,PubCorr,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2099454,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2D421Z,23,0,000500,020,01,Circulat'n,PubCorr,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2099455,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F002V,179,0,000500,030,05,Mechanical,VertShaft,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2099456,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F005V,179,0,000500,030,05,Mechanical,VertShaft,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2099457,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F009V,120,0,000500,030,05,Mechanical,VertShaft,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2099458,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F016V,27,0,000500,030,05,Mechanical,VertShaft,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2099459,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F100Z,2431,0,000500,020,01,Circulat'n,PubCorr,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2160728,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F150Z,808,0,000500,020,01,Circulat'n,PubCorr,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2099462,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F201T,149,0,000500,040, ,PubRestRm, ,Institutional Org,,,,,Public Restroom(0040) - 100%,0,0,0,,
2099463,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F203J,41,0,000500,010,02,Custodial,JanClos,Institutional Org,,,,,Custodial Area(0010) - 100%,0,0,0,,
2099464,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F205T,148,0,000500,040, ,PubRestRm, ,Institutional Org,,,,,Public Restroom(0040) - 100%,0,0,0,,
2099465,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F208,593,0,311679,060,00,Renovation,Alteration,MM CE COO Administration,,,MM CE COO Administration (311679) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099466,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F210,77,0,311679,060,00,Renovation,Alteration,MM CE COO Administration,,,MM CE COO Administration (311679) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099467,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F212,128,1,311679,060,00,Renovation,Alteration,MM CE COO Administration,,rtarter-STFA,MM CE COO Administration (311679) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099468,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F214,113,0,317500,730,02,CenStorage,MultiPrps,MM Clinical Lab Admin,,,MM Transfusion/Apheresis (317615) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190941,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F216,29,0,317500,315,14,Office Svc,Closet,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 60%; Alteration Area(0060) - 40%,0,0,0,,
2190942,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F218,34,0,317500,315,14,Office Svc,Closet,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 60%; Alteration Area(0060) - 40%,0,0,0,,
2099472,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F222,1856,0,317500,860,08,DiagSrvLab,PatholLab,MM Clinical Lab Admin,,,MM Transfusion/Apheresis (317615) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2127293,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F222A,538,0,317500,860,08,DiagSrvLab,PatholLab,MM Clinical Lab Admin,,,MM Transfusion/Apheresis (317615) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190798,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F222B,182,0,317500,865,11,DiagLabSup,TmpCtrlRm,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099476,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225,1331,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Pathology Blood Bank (317610) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190821,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225-01,80,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190822,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225-02,80,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190823,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225-03,80,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190827,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225-04,82,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190828,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225-05,90,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190829,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225-06,82,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190830,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225-07,133,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190836,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225-08,125,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190837,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225-09,125,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190843,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225-10,129,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2124577,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225A,138,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Pathology Blood Bank (317610) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190826,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225B,123,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190825,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225D,72,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190824,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225F,57,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190831,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225H,161,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190833,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225K,136,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190832,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225L,64,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190835,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225N,75,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190834,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F225T,59,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190842,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F226J,14,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2099483,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F250Z,627,0,000500,020,01,Circulat'n,PubCorr,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2190646,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F300Z,1237,0,000500,020,01,Circulat'n,PubCorr,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2099485,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F302,111,0,000500,020, ,Circulat'n, ,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2099486,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F302X,165,0,000500,020,07,Circulat'n,Stair,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2099487,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F304,79,1,312151,310,16,Office,FlexOffice,MM Contract Services Programs,,,MM Contract Services Programs (312151) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099490,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F306,28,0,000500,020,00,Circulat'n,Circulat'n,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2099488,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F306C,85,0,000500,030,02,Mechanical,Comm,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2099489,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F306E,120,0,000500,030,03,Mechanical,ElectEquip,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2099491,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F310,76,2,312151,310,00,Office,Office,MM Contract Services Programs,,,MM Contract Services Programs (312151) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099492,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F312,101,0,312151,635,04,FoodFacSvc,FoodStPrep,MM Contract Services Programs,,,MM Contract Services Programs (312151) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099493,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F314,431,0,312151,635,04,FoodFacSvc,FoodStPrep,MM Contract Services Programs,,,MM Contract Services Programs (312151) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099494,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F316,713,32,312151,630,01,Food Fac,DngHallCaf,MM Contract Services Programs,,,MM Contract Services Programs (312151) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190856,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F328,49,0,317500,865,15,DiagLabSup,Tank,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190799,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F330C,145,0,000500,030, ,Mechanical, ,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2099500,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F331,284,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Surg/Necropsy Path (317600) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2124574,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F331A,58,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Surg/Necropsy Path (317600) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2124575,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F331B,196,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Surg/Necropsy Path (317600) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2124576,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F331D,423,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Surg/Necropsy Path (317600) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190840,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F331F,85,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190838,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F331G,73,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190839,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F331H,15,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190877,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F335A,107,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2099507,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F340X,29,0,000500,020,07,Circulat'n,Stair,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2099508,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F341,570,0,317500,315,11,Office Svc,DptStorage,MM Clinical Lab Admin,,,MM Surg/Necropsy Trans (317603) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099509,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F343,67,0,317500,865,14,DiagLabSup,HazStrgRm,MM Clinical Lab Admin,,,MM Surg/Necropsy Path (317600) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190858,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F344,77,0,317500,865,14,DiagLabSup,HazStrgRm,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190857,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F346,82,0,317500,865,10,DiagLabSup,StorageRm,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099511,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F347,169,0,317500,865,15,DiagLabSup,Tank,MM Clinical Lab Admin,,,MM Cytopathology (317601) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099512,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F350X,290,0,000500,020,07,Circulat'n,Stair,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2190879,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F350Z,251,0,000500,020,01,Circulat'n,PubCorr,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2099513,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F351,287,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Flow Cytometry Lab (317607) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2099515,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F355,485,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Path Hemo/Coag Unit Uh (317560) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190841,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F355A,247,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190844,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F355B,62,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190845,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F355D,56,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2190846,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F355F,71,0,317500,060,00,Renovation,Alteration,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Alteration Area(0060) - 100%,0,0,0,,
2099516,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F357T,155,3,000500,040,06,PubRestRm,Men-Handic,Institutional Org,,,,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099517,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F359T,158,3,000500,040,05,PubRestRm,Wmn-Handic,Institutional Org,,,,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099519,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F361,634,12,317500,310,17,Office,FlxOpnWkSt,MM Clinical Lab Admin,,,MM Path Reference Tests (317540) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190872,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F361A,58,1,317500,310,16,Office,FlexOffice,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190873,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F361B,49,1,317500,310,00,Office,Office,MM Clinical Lab Admin,,morriela-STFC,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190871,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F361D,57,1,317500,310,00,Office,Office,MM Clinical Lab Admin,,matocco-STFC,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099521,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F365,2622,0,317500,860,08,DiagSrvLab,PatholLab,MM Clinical Lab Admin,,,MM Path Reference Tests (317540) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190874,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F365A,226,0,317500,860,08,DiagSrvLab,PatholLab,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099524,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F400X,145,0,000500,020,07,Circulat'n,Stair,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2099528,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F426,954,48,312151,630,01,Food Fac,DngHallCaf,MM Contract Services Programs,,,MM Contract Services Programs (312151) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099535,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F435A,121,0,000500,020,00,Circulat'n,Circulat'n,Institutional Org,,,,,Circulation Area(0020) - 100%,0,0,0,,
2099536,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F435C,112,0,000500,030,02,Mechanical,Comm,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2099537,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F435E,111,0,000500,030,03,Mechanical,ElectEquip,Institutional Org,,,,,Mechanical Area(0030) - 100%,0,0,0,,
2190865,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F441,967,10,317500,310,17,Office,FlxOpnWkSt,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190870,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F441A,113,6,317500,350,00,Conference,Conference,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190868,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F441B,74,2,317500,310,00,Office,Office,MM Clinical Lab Admin,,mdufore-STFC; alfsen-STFC,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190866,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F441D,75,2,317500,310,00,Office,Office,MM Clinical Lab Admin,,roellis-STFC; smattson-STFC,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190867,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F441F,76,2,317500,310,16,Office,FlexOffice,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190869,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F441G,71,1,317500,310,00,Office,Office,MM Clinical Lab Admin,,awilcik-STFC,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190864,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F441H,68,1,317500,310,16,Office,FlexOffice,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190863,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F441K,70,1,317500,310,16,Office,FlexOffice,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190862,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F441L,71,1,317500,310,00,Office,Office,MM Clinical Lab Admin,shihhon(100%),shihhon-FA,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190861,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F441N,72,1,317500,310,00,Office,Office,MM Clinical Lab Admin,gherasim(100%),gherasim-FA,MM Clinical Lab Admin (317500) - 100%,N032201(2023-12-16); F067062(2025-09-29),Other Institutional Activities(1302) - 80%; Organized Research(0202) - 20%,0,0,0,,
2190860,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F441P,73,1,317500,310,00,Office,Office,MM Clinical Lab Admin,,vasbinde-STFC,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190859,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F441R,116,1,317500,310,18,Office,Cubicle,MM Clinical Lab Admin,,erliwien-STFS,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099543,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F449,3430,0,317500,860,08,DiagSrvLab,PatholLab,MM Clinical Lab Admin,,,MM Chemical Pathology (317520) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099545,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F453,5017,0,317500,860,08,DiagSrvLab,PatholLab,MM Clinical Lab Admin,,,MM Chemical Pathology (317520) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190875,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F453A,155,0,317500,865,14,DiagLabSup,HazStrgRm,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2190876,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F453B,127,0,317500,865,14,DiagLabSup,HazStrgRm,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2099555,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F471,2067,0,317500,860,08,DiagSrvLab,PatholLab,MM Clinical Lab Admin,,,MM Microbiol Pathology (317530) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2188976,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F471A,210,0,317500,865,16,DiagLabSup,AssignCirc,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2188977,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F471B,548,5,317500,310,17,Office,FlxOpnWkSt,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2188978,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F471D,56,1,317500,310,00,Office,Office,MM Clinical Lab Admin,,kstolt-STFC,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2188979,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F471F,68,2,317500,310,00,Office,Office,MM Clinical Lab Admin,,mjliu-STFC,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
2188981,1000316,U HOSP,UNIVERSITY HOSPITAL,02,2F471G,130,5,317500,350,00,Conference,Conference,MM Clinical Lab Admin,,,MM Clinical Lab Admin (317500) - 100%,,Other Institutional Activities(1302) - 100%,0,0,0,,
